invoice_id,customer_id,invoice_date,invoice_amount,tax,discount,net_amount
INV0000001,CUST009416,2026-08-15,48123.92,3763.17,3916.81,47970.28
INV0000002,CUST003473,2026-08-20,88750.81,12711.7,6453.65,95008.86
INV0000003,CUST004133,2026-08-13,9087.52,762.43,779.51,9070.44
INV0000004,CUST001910,2026-08-10,83905.3,13368.67,4495.17,92778.8
INV0000005,CUST007433,2026-08-15,18146.68,3102.08,868.54,20380.22
INV0000006,CUST000359,2026-08-10,48050.46,7332.73,4517.79,50865.4
INV0000007,CUST008308,2026-08-31,42154.34,2936.4,3856.98,41233.76
INV0000008,CUST009103,2026-08-25,75299.78,5510.38,1196.81,79613.35
INV0000009,CUST003466,2026-08-15,53578.31,9372.77,4511.58,58439.5
INV0000010,CUST008003,2026-08-31,81069.49,4357.38,1002.89,84423.98
INV0000011,CUST002837,2026-08-14,62679.15,3508.21,2684.27,63503.09
INV0000012,CUST002986,2026-08-21,33130.28,5939.18,979.46,38090.0
INV0000013,CUST002083,2026-08-15,32804.57,1924.23,107.42,34621.38
INV0000014,CUST004942,2026-08-08,91048.32,10660.4,2135.04,99573.68
INV0000015,CUST008405,2026-08-14,67519.07,12022.26,3267.11,76274.22
INV0000016,CUST001043,2026-08-26,54844.97,5529.76,494.09,59880.64
INV0000017,CUST002294,2026-08-27,84778.02,6319.66,8238.94,82858.74
INV0000018,CUST006089,2026-08-17,42487.8,7196.63,3613.33,46071.1
INV0000019,CUST004939,2026-08-08,65518.85,10730.43,5228.61,71020.67
INV0000020,CUST001230,2026-08-10,98392.85,10349.01,281.95,108459.91
INV0000021,CUST001377,2026-08-22,61334.13,5159.65,3702.53,62791.25
INV0000022,CUST005159,2026-08-21,30421.35,1962.92,311.46,32072.81
INV0000023,CUST004877,2026-08-30,52551.06,4156.48,3962.1,52745.44
INV0000024,CUST001049,2026-08-29,85931.39,8481.87,2923.94,91489.32
INV0000025,CUST001349,2026-08-11,50719.58,6656.08,1494.46,55881.2
INV0000026,CUST002008,2026-08-10,9075.47,882.27,525.96,9431.78
INV0000027,CUST005257,2026-08-09,42229.99,5111.09,2487.93,44853.15
INV0000028,CUST000040,2026-08-28,3827.79,625.04,96.36,4356.47
INV0000029,CUST000313,2026-08-29,20433.26,1516.05,1982.33,19966.98
INV0000030,CUST007620,2026-08-01,35215.02,6224.69,2261.93,39177.78
INV0000031,CUST001496,2026-08-06,80094.54,12354.73,2056.03,90393.24
INV0000032,CUST005913,2026-08-31,43680.6,6742.23,2691.02,47731.81
INV0000033,CUST008748,2026-08-19,86475.16,5808.92,4388.45,87895.63
INV0000034,CUST005470,2026-08-24,91637.9,14351.35,1032.52,104956.73
INV0000035,CUST007411,2026-08-09,37115.92,3291.58,82.96,40324.54
INV0000036,CUST004209,2026-08-18,1657.65,98.72,143.52,1612.85
INV0000037,CUST001245,2026-08-19,91118.4,11145.01,3972.01,98291.4
INV0000038,CUST003638,2026-08-19,38586.43,3648.07,2033.2,40201.3
INV0000039,CUST003782,2026-08-04,42881.86,4117.0,2780.76,44218.1
INV0000040,CUST009916,2026-08-04,30646.09,1551.08,2123.23,30073.94
INV0000041,CUST002354,2026-08-14,13725.49,1901.69,1330.09,14297.09
INV0000042,CUST002458,2026-08-04,42507.61,4636.64,1218.18,45926.07
INV0000043,CUST008432,2026-08-26,82881.25,11154.69,5869.31,88166.63
INV0000044,CUST009968,2026-08-23,41037.76,4326.67,803.76,44560.67
INV0000045,CUST000866,2026-08-03,14742.16,2390.38,1163.44,15969.1
INV0000046,CUST006313,2026-08-17,77841.16,6855.66,4144.42,80552.4
INV0000047,CUST004906,2026-08-01,56090.63,5495.16,5221.71,56364.08
INV0000048,CUST006126,2026-08-13,77130.91,10355.74,1925.79,85560.86
INV0000049,CUST009601,2026-08-12,42540.27,2965.35,460.14,45045.48
INV0000050,CUST009973,2026-08-20,99819.7,7080.87,2499.17,104401.4
INV0000051,CUST004174,2026-08-10,49646.02,5411.78,1619.29,53438.51
INV0000052,CUST007498,2026-08-10,96340.43,17279.93,6368.98,107251.38
INV0000053,CUST007593,2026-08-03,56996.37,6827.92,5202.1,58622.19
INV0000054,CUST000597,2026-08-17,59283.53,3531.22,1014.99,61799.76
INV0000055,CUST008437,2026-08-23,43564.77,3474.14,3825.26,43213.65
INV0000056,CUST008413,2026-08-02,42232.45,2846.72,2545.22,42533.95
INV0000057,CUST007654,2026-08-22,23174.94,1970.15,809.88,24335.21
INV0000058,CUST008019,2026-08-18,9035.66,683.72,434.79,9284.59
INV0000059,CUST006677,2026-08-06,9634.92,1324.79,83.43,10876.28
INV0000060,CUST004238,2026-08-29,7205.74,373.78,15.93,7563.59
INV0000061,CUST000096,2026-08-05,83115.73,12573.61,2936.67,92752.67
INV0000062,CUST004997,2026-08-23,62799.91,3583.01,3054.41,63328.51
INV0000063,CUST001066,2026-08-18,50596.13,5614.99,525.03,55686.09
INV0000064,CUST004020,2026-08-04,91989.1,5272.17,8573.92,88687.35
INV0000065,CUST009892,2026-08-01,20058.19,2195.69,489.63,21764.25
INV0000066,CUST001162,2026-08-11,77285.44,8453.33,7409.22,78329.55
INV0000067,CUST006042,2026-08-31,81605.72,13460.47,7030.88,88035.31
INV0000068,CUST009586,2026-08-31,51923.99,7740.09,144.25,59519.83
INV0000069,CUST000208,2026-08-05,1273.71,142.69,74.57,1341.83
INV0000070,CUST001706,2026-08-11,22380.88,3198.8,819.17,24760.51
