store_id,exceptions,financial_exposure,average_impact
STORE181,17,248315.42,14606.789411764707
STORE017,12,240340.27000000002,20028.355833333335
STORE011,16,206395.48,12899.7175
STORE221,23,203519.71,8848.68304347826
STORE084,25,199144.1,7965.764
STORE048,16,195226.8,12201.675
STORE196,19,191121.66999999998,10059.035263157893
STORE171,19,189037.32,9949.332631578947
STORE129,19,188330.56,9912.134736842105
STORE021,22,188041.75,8547.352272727272
STORE228,22,178386.2,8108.463636363637
STORE080,23,176235.0,7662.391304347826
STORE122,20,173011.65,8650.5825
STORE245,15,172499.47999999998,11499.965333333332
STORE118,17,170771.96,10045.409411764706
STORE061,17,166405.01,9788.53
STORE065,16,161660.03,10103.751875
STORE189,16,159279.13999999998,9954.946249999999
STORE020,18,158741.41,8818.967222222222
STORE217,16,157360.9,9835.05625
STORE075,14,156053.15,11146.653571428571
STORE248,23,155403.77,6756.685652173913
STORE180,15,154552.69,10303.512666666667
STORE249,17,153040.37,9002.374705882352
STORE110,18,151763.38,8431.298888888889
STORE059,18,149667.57,8314.865
STORE045,21,147844.53,7040.215714285714
STORE216,16,146812.27,9175.766875
STORE070,19,146796.36,7726.124210526315
STORE052,11,145706.14,13246.012727272728
STORE109,17,145029.02000000002,8531.118823529412
STORE040,21,145014.25,6905.440476190476
STORE083,13,142818.93,10986.071538461538
STORE016,14,140793.3,10056.664285714285
STORE037,15,140758.86,9383.923999999999
STORE155,19,138889.34,7309.965263157895
STORE193,12,137792.27,11482.689166666665
STORE165,14,136760.24,9768.58857142857
STORE077,23,135752.7,5902.291304347827
STORE018,15,133617.65,8907.843333333332
STORE022,23,132616.35,5765.928260869566
STORE240,23,129701.54,5639.197391304348
STORE145,12,129616.76000000001,10801.396666666667
STORE013,11,129259.14,11750.83090909091
STORE090,10,128943.63,12894.363000000001
STORE101,17,128135.48,7537.381176470588
STORE041,15,128091.48,8539.431999999999
STORE097,16,127438.56,7964.91
STORE047,18,127337.79,7074.321666666667
STORE142,19,127166.1,6692.952631578948
STORE133,24,127158.33,5298.26375
STORE071,15,126605.75,8440.383333333333
STORE024,10,126455.37,12645.537
STORE219,16,126070.52,7879.4075
STORE188,20,125985.15,6299.2575
STORE079,16,125784.22,7861.51375
STORE184,10,125088.64,12508.864
STORE066,13,124013.8,9539.523076923077
STORE115,20,123695.69,6184.7845
STORE191,14,123495.14,8821.081428571428
STORE235,12,121591.58,10132.631666666666
STORE117,17,121572.14,7151.302352941177
STORE156,16,120983.88,7561.4925
STORE063,13,120061.79000000001,9235.522307692308
STORE100,16,118394.21,7399.638125
STORE124,19,117633.36,6191.2294736842105
STORE102,11,117342.72,10667.52
STORE121,13,117281.76000000001,9021.673846153846
STORE218,20,116890.0,5844.5
STORE232,9,116058.16,12895.351111111111
STORE049,16,115331.45,7208.215625
STORE031,16,114318.23000000001,7144.889375000001
STORE043,10,113966.6,11396.66
STORE130,8,112781.0,14097.625
STORE136,9,112346.57999999999,12482.953333333331
STORE010,10,111352.18,11135.217999999999
STORE062,17,110275.15,6486.773529411765
STORE207,11,110257.07999999999,10023.370909090909
STORE114,13,109503.55,8423.35
STORE073,19,108851.48,5729.025263157894
STORE092,17,106878.0,6286.941176470588
STORE032,14,106418.88,7601.348571428572
STORE057,16,106384.34,6649.02125
STORE223,8,105885.0,13235.625
STORE215,14,105677.91,7548.422142857143
STORE204,15,105664.08,7044.272
STORE088,15,105122.39,7008.159333333333
STORE044,21,104346.45,4968.878571428571
STORE034,21,103457.29000000001,4926.537619047619
STORE053,21,103315.47,4919.784285714286
